representation,readout,kernel,bandwidth,reference,label_blind,evidence_level
old64,R_full64,RBF,10.235270119016128,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,R_linear_task,RBF,2.1356148455691524,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,R_fixed_semantic,RBF,18.379509233655806,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_full64,RBF,5.288517434224753,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_linear_task,RBF,0.9961752951704668,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_fixed_semantic,RBF,24.267942897065314,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_full64,RBF,5.724719161505583,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_linear_task,RBF,1.4940011840071294,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_fixed_semantic,RBF,24.202538518759248,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_full64,RBF,5.615089731670288,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_linear_task,RBF,1.2719389774924914,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_fixed_semantic,RBF,24.373361460452944,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_full64,RBF,5.370217644953198,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_linear_task,RBF,0.21405095765339885,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_fixed_semantic,RBF,24.237982370103985,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_full64,RBF,6.255727899299371,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_linear_task,RBF,0.884398094456483,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_fixed_semantic,RBF,24.387243209675873,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,True,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
